Profile,Winner,Num_Violations,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized,Borda ranking Winner,Plurality ranking Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner
"[(0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 10, 0, 6, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.20833, 0.0, 0.125, 0.0]","[16, 16, 0, 10, 0, 6]","[0.33333, 0.33333, 0.0, 0.20833, 0.0, 0.125]",[0.38095 0.38095 0.2381 ],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[16, 0, 0, 0, 10, 6, 0, 6, 10]","[0.33333, 0.0, 0.0, 0.0, 0.20833, 0.125, 0.0, 0.125, 0.20833]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 7, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.14583, 0.0, 0.1875, 0.0]","[16, 16, 0, 7, 0, 9]","[0.33333, 0.33333, 0.0, 0.14583, 0.0, 0.1875]",[0.41026 0.41026 0.17949],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 7, 9, 0, 9, 7]","[0.33333, 0.0, 0.0, 0.0, 0.14583, 0.1875, 0.0, 0.1875, 0.14583]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 7, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.14583, 0.0, 0.1875, 0.0]","[16, 16, 0, 7, 0, 9]","[0.33333, 0.33333, 0.0, 0.14583, 0.0, 0.1875]",[0.41026 0.41026 0.17949],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 7, 9, 0, 9, 7]","[0.33333, 0.0, 0.0, 0.0, 0.14583, 0.1875, 0.0, 0.1875, 0.14583]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 13, 0, 3, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.27083, 0.0, 0.0625, 0.0]","[16, 16, 0, 13, 0, 3]","[0.33333, 0.33333, 0.0, 0.27083, 0.0, 0.0625]",[0.35556 0.35556 0.28889],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[16, 0, 0, 0, 13, 3, 0, 3, 13]","[0.33333, 0.0, 0.0, 0.0, 0.27083, 0.0625, 0.0, 0.0625, 0.27083]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 8, 0, 8, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[16, 16, 0, 8, 0, 8]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[16, 0, 0, 0, 8, 8, 0, 8, 8]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 7, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.14583, 0.0, 0.1875, 0.0]","[16, 16, 0, 7, 0, 9]","[0.33333, 0.33333, 0.0, 0.14583, 0.0, 0.1875]",[0.41026 0.41026 0.17949],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 7, 9, 0, 9, 7]","[0.33333, 0.0, 0.0, 0.0, 0.14583, 0.1875, 0.0, 0.1875, 0.14583]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 8, 0, 8, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[16, 16, 0, 8, 0, 8]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[16, 0, 0, 0, 8, 8, 0, 8, 8]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 8, 0, 8, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[16, 16, 0, 8, 0, 8]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[16, 0, 0, 0, 8, 8, 0, 8, 8]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 10, 0, 6, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.20833, 0.0, 0.125, 0.0]","[16, 16, 0, 10, 0, 6]","[0.33333, 0.33333, 0.0, 0.20833, 0.0, 0.125]",[0.38095 0.38095 0.2381 ],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[16, 0, 0, 0, 10, 6, 0, 6, 10]","[0.33333, 0.0, 0.0, 0.0, 0.20833, 0.125, 0.0, 0.125, 0.20833]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 5, 0, 11, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.10417, 0.0, 0.22917, 0.0]","[16, 16, 0, 5, 0, 11]","[0.33333, 0.33333, 0.0, 0.10417, 0.0, 0.22917]",[0.43243 0.43243 0.13514],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 5, 11, 0, 11, 5]","[0.33333, 0.0, 0.0, 0.0, 0.10417, 0.22917, 0.0, 0.22917, 0.10417]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 5, 0, 11, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.10417, 0.0, 0.22917, 0.0]","[16, 16, 0, 5, 0, 11]","[0.33333, 0.33333, 0.0, 0.10417, 0.0, 0.22917]",[0.43243 0.43243 0.13514],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 5, 11, 0, 11, 5]","[0.33333, 0.0, 0.0, 0.0, 0.10417, 0.22917, 0.0, 0.22917, 0.10417]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 9, 0, 7, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.1875, 0.0, 0.14583, 0.0]","[16, 16, 0, 9, 0, 7]","[0.33333, 0.33333, 0.0, 0.1875, 0.0, 0.14583]",[0.39024 0.39024 0.21951],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[16, 0, 0, 0, 9, 7, 0, 7, 9]","[0.33333, 0.0, 0.0, 0.0, 0.1875, 0.14583, 0.0, 0.14583, 0.1875]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 7, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.14583, 0.0, 0.1875, 0.0]","[16, 16, 0, 7, 0, 9]","[0.33333, 0.33333, 0.0, 0.14583, 0.0, 0.1875]",[0.41026 0.41026 0.17949],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 7, 9, 0, 9, 7]","[0.33333, 0.0, 0.0, 0.0, 0.14583, 0.1875, 0.0, 0.1875, 0.14583]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 9, 0, 7, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.1875, 0.0, 0.14583, 0.0]","[16, 16, 0, 9, 0, 7]","[0.33333, 0.33333, 0.0, 0.1875, 0.0, 0.14583]",[0.39024 0.39024 0.21951],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[16, 0, 0, 0, 9, 7, 0, 7, 9]","[0.33333, 0.0, 0.0, 0.0, 0.1875, 0.14583, 0.0, 0.14583, 0.1875]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 8, 0, 8, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[16, 16, 0, 8, 0, 8]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[16, 0, 0, 0, 8, 8, 0, 8, 8]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 6, 0, 10, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.125, 0.0, 0.20833, 0.0]","[16, 16, 0, 6, 0, 10]","[0.33333, 0.33333, 0.0, 0.125, 0.0, 0.20833]",[0.42105 0.42105 0.15789],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 6, 10, 0, 10, 6]","[0.33333, 0.0, 0.0, 0.0, 0.125, 0.20833, 0.0, 0.20833, 0.125]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 12, 0, 4, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.25, 0.0, 0.08333, 0.0]","[16, 16, 0, 12, 0, 4]","[0.33333, 0.33333, 0.0, 0.25, 0.0, 0.08333]",[0.36364 0.36364 0.27273],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[16, 0, 0, 0, 12, 4, 0, 4, 12]","[0.33333, 0.0, 0.0, 0.0, 0.25, 0.08333, 0.0, 0.08333, 0.25]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 8, 0, 8, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[16, 16, 0, 8, 0, 8]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[16, 0, 0, 0, 8, 8, 0, 8, 8]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 7, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.14583, 0.0, 0.1875, 0.0]","[16, 16, 0, 7, 0, 9]","[0.33333, 0.33333, 0.0, 0.14583, 0.0, 0.1875]",[0.41026 0.41026 0.17949],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 7, 9, 0, 9, 7]","[0.33333, 0.0, 0.0, 0.0, 0.14583, 0.1875, 0.0, 0.1875, 0.14583]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 11, 0, 5, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.22917, 0.0, 0.10417, 0.0]","[16, 16, 0, 11, 0, 5]","[0.33333, 0.33333, 0.0, 0.22917, 0.0, 0.10417]",[0.37209 0.37209 0.25581],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[16, 0, 0, 0, 11, 5, 0, 5, 11]","[0.33333, 0.0, 0.0, 0.0, 0.22917, 0.10417, 0.0, 0.10417, 0.22917]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 7, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.14583, 0.0, 0.1875, 0.0]","[16, 16, 0, 7, 0, 9]","[0.33333, 0.33333, 0.0, 0.14583, 0.0, 0.1875]",[0.41026 0.41026 0.17949],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 7, 9, 0, 9, 7]","[0.33333, 0.0, 0.0, 0.0, 0.14583, 0.1875, 0.0, 0.1875, 0.14583]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 6, 0, 10, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.125, 0.0, 0.20833, 0.0]","[16, 16, 0, 6, 0, 10]","[0.33333, 0.33333, 0.0, 0.125, 0.0, 0.20833]",[0.42105 0.42105 0.15789],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 6, 10, 0, 10, 6]","[0.33333, 0.0, 0.0, 0.0, 0.125, 0.20833, 0.0, 0.20833, 0.125]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 7, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.14583, 0.0, 0.1875, 0.0]","[16, 16, 0, 7, 0, 9]","[0.33333, 0.33333, 0.0, 0.14583, 0.0, 0.1875]",[0.41026 0.41026 0.17949],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[16, 0, 0, 0, 7, 9, 0, 9, 7]","[0.33333, 0.0, 0.0, 0.0, 0.14583, 0.1875, 0.0, 0.1875, 0.14583]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 10, 0, 6, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.20833, 0.0, 0.125, 0.0]","[16, 16, 0, 10, 0, 6]","[0.33333, 0.33333, 0.0, 0.20833, 0.0, 0.125]",[0.38095 0.38095 0.2381 ],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[16, 0, 0, 0, 10, 6, 0, 6, 10]","[0.33333, 0.0, 0.0, 0.0, 0.20833, 0.125, 0.0, 0.125, 0.20833]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
"[(0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 0)",0,"[0, 16, 16, 0, 0, 8, 0, 8, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[16, 16, 0, 8, 0, 8]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[16, 0, 0, 0, 8, 8, 0, 8, 8]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
