,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Minimax,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.07407407407407407,0.1111111111111111,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.14814814814814814,0.2777777777777778,0.24074074074074073,0.1111111111111111,0.14814814814814814,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.0,0.0,0.018518518518518517,0.16666666666666666,0.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.018518518518518517
Split Cycle,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.07407407407407407,0.1111111111111111,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.14814814814814814,0.2777777777777778,0.24074074074074073,0.1111111111111111,0.14814814814814814,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.0,0.0,0.018518518518518517,0.16666666666666666,0.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.018518518518518517
Ranked Pairs ZT,0.2037037037037037,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.07407407407407407,0.12962962962962962,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.12962962962962962,0.14814814814814814,0.12962962962962962,0.2777777777777778,0.12962962962962962,0.14814814814814814,0.25925925925925924,0.24074074074074073,0.09259259259259259,0.12962962962962962,0.07407407407407407,0.05555555555555555,0.037037037037037035,0.07407407407407407,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.16666666666666666,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.09259259259259259,0.14814814814814814,0.09259259259259259,0.05555555555555555,0.037037037037037035
Ranked Pairs TB,0.2037037037037037,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.07407407407407407,0.12962962962962962,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.12962962962962962,0.14814814814814814,0.12962962962962962,0.2777777777777778,0.12962962962962962,0.14814814814814814,0.25925925925925924,0.24074074074074073,0.09259259259259259,0.12962962962962962,0.07407407407407407,0.05555555555555555,0.037037037037037035,0.07407407407407407,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.16666666666666666,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.09259259259259259,0.14814814814814814,0.09259259259259259,0.05555555555555555,0.037037037037037035
Simple Stable Voting,0.2037037037037037,0.037037037037037035,0.3333333333333333,0.2962962962962963,0.05555555555555555,0.14814814814814814,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.2777777777777778,0.14814814814814814,0.14814814814814814,0.25925925925925924,0.24074074074074073,0.12962962962962962,0.12962962962962962,0.09259259259259259,0.037037037037037035,0.05555555555555555,0.09259259259259259,0.0,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.16666666666666666,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.0,0.0,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.0,0.0,0.037037037037037035,0.09259259259259259,0.12962962962962962,0.07407407407407407,0.037037037037037035,0.05555555555555555
Stable Voting,0.2037037037037037,0.037037037037037035,0.3333333333333333,0.2962962962962963,0.05555555555555555,0.14814814814814814,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.2777777777777778,0.14814814814814814,0.14814814814814814,0.25925925925925924,0.24074074074074073,0.12962962962962962,0.12962962962962962,0.09259259259259259,0.037037037037037035,0.05555555555555555,0.09259259259259259,0.0,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.16666666666666666,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.0,0.0,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.0,0.0,0.037037037037037035,0.09259259259259259,0.12962962962962962,0.07407407407407407,0.037037037037037035,0.05555555555555555
Loss-Trimmer Voting,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.07407407407407407,0.1111111111111111,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.14814814814814814,0.2777777777777778,0.24074074074074073,0.1111111111111111,0.14814814814814814,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.0,0.0,0.018518518518518517,0.16666666666666666,0.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.018518518518518517
Daunou,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.09259259259259259,0.1111111111111111,0.037037037037037035,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.1111111111111111,0.12962962962962962,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.12962962962962962,0.2777777777777778,0.25925925925925924,0.09259259259259259,0.14814814814814814,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.18518518518518517,0.018518518518518517,0.0,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.0,0.05555555555555555,0.0,0.018518518518518517,0.0,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.1111111111111111,0.16666666666666666,0.07407407407407407,0.037037037037037035,0.0
Blacks,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.3148148148148148,0.037037037037037035,0.14814814814814814,0.07407407407407407,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14814814814814814,0.16666666666666666,0.14814814814814814,0.2777777777777778,0.14814814814814814,0.16666666666666666,0.2777777777777778,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.09259259259259259,0.037037037037037035,0.05555555555555555,0.09259259259259259,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.05555555555555555
Condorcet IRV,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.09259259259259259,0.1111111111111111,0.037037037037037035,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.1111111111111111,0.12962962962962962,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.12962962962962962,0.2777777777777778,0.25925925925925924,0.09259259259259259,0.14814814814814814,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.18518518518518517,0.018518518518518517,0.0,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.0,0.05555555555555555,0.0,0.018518518518518517,0.0,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.1111111111111111,0.16666666666666666,0.07407407407407407,0.037037037037037035,0.0
Condorcet IRV PUT,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.07407407407407407,0.1111111111111111,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.14814814814814814,0.2777777777777778,0.24074074074074073,0.1111111111111111,0.14814814814814814,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.0,0.0,0.018518518518518517,0.16666666666666666,0.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.018518518518518517
Smith IRV,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.09259259259259259,0.1111111111111111,0.037037037037037035,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.1111111111111111,0.12962962962962962,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.12962962962962962,0.2777777777777778,0.25925925925925924,0.09259259259259259,0.14814814814814814,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.18518518518518517,0.018518518518518517,0.0,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.0,0.05555555555555555,0.0,0.018518518518518517,0.0,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.1111111111111111,0.16666666666666666,0.07407407407407407,0.037037037037037035,0.0
Smith-Minimax,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.07407407407407407,0.1111111111111111,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.14814814814814814,0.2777777777777778,0.24074074074074073,0.1111111111111111,0.14814814814814814,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.0,0.0,0.018518518518518517,0.16666666666666666,0.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.018518518518518517
Condorcet Plurality,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.09259259259259259,0.14814814814814814,0.09259259259259259,0.2777777777777778,0.09259259259259259,0.14814814814814814,0.2777777777777778,0.25925925925925924,0.1111111111111111,0.12962962962962962,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.18518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.09259259259259259,0.16666666666666666,0.05555555555555555,0.018518518518518517,0.018518518518518517
Copeland-Local-Borda,0.2037037037037037,0.037037037037037035,0.3333333333333333,0.2962962962962963,0.05555555555555555,0.14814814814814814,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.2777777777777778,0.14814814814814814,0.14814814814814814,0.25925925925925924,0.24074074074074073,0.12962962962962962,0.12962962962962962,0.09259259259259259,0.037037037037037035,0.05555555555555555,0.09259259259259259,0.0,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.16666666666666666,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.0,0.0,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.0,0.0,0.037037037037037035,0.09259259259259259,0.12962962962962962,0.07407407407407407,0.037037037037037035,0.05555555555555555
Copeland-Global-Borda,0.2037037037037037,0.037037037037037035,0.3333333333333333,0.2962962962962963,0.05555555555555555,0.14814814814814814,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.2777777777777778,0.14814814814814814,0.14814814814814814,0.25925925925925924,0.24074074074074073,0.12962962962962962,0.12962962962962962,0.09259259259259259,0.037037037037037035,0.05555555555555555,0.09259259259259259,0.0,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.16666666666666666,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.0,0.0,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.0,0.0,0.037037037037037035,0.09259259259259259,0.12962962962962962,0.07407407407407407,0.037037037037037035,0.05555555555555555
Borda-Minimax Faceoff,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.05555555555555555,0.12962962962962962,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.12962962962962962,0.14814814814814814,0.12962962962962962,0.2777777777777778,0.12962962962962962,0.14814814814814814,0.2777777777777778,0.2222222222222222,0.09259259259259259,0.12962962962962962,0.07407407407407407,0.05555555555555555,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.09259259259259259,0.12962962962962962,0.09259259259259259,0.05555555555555555,0.037037037037037035
Bucklin,0.2037037037037037,0.1111111111111111,0.3333333333333333,0.3148148148148148,0.07407407407407407,0.14814814814814814,0.12962962962962962,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14814814814814814,0.16666666666666666,0.14814814814814814,0.3148148148148148,0.14814814814814814,0.16666666666666666,0.2962962962962963,0.2222222222222222,0.09259259259259259,0.09259259259259259,0.12962962962962962,0.09259259259259259,0.1111111111111111,0.1111111111111111,0.09259259259259259,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09259259259259259,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.0,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.1111111111111111
Simplified Bucklin,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3148148148148148,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.2037037037037037,0.2037037037037037,0.2037037037037037,0.2037037037037037,0.18518518518518517,0.2037037037037037,0.18518518518518517,0.3148148148148148,0.18518518518518517,0.2037037037037037,0.2777777777777778,0.16666666666666666,0.12962962962962962,0.12962962962962962,0.18518518518518517,0.14814814814814814,0.16666666666666666,0.16666666666666666,0.12962962962962962,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.18518518518518517,0.14814814814814814,0.16666666666666666,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.12962962962962962,0.12962962962962962,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.12962962962962962,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.12962962962962962,0.12962962962962962,0.14814814814814814,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.14814814814814814,0.16666666666666666,0.14814814814814814,0.16666666666666666,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.07407407407407407,0.0,0.1111111111111111,0.14814814814814814,0.16666666666666666
Weighted Bucklin,0.2037037037037037,0.09259259259259259,0.3333333333333333,0.3148148148148148,0.07407407407407407,0.12962962962962962,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.12962962962962962,0.16666666666666666,0.12962962962962962,0.3148148148148148,0.12962962962962962,0.16666666666666666,0.2777777777777778,0.24074074074074073,0.12962962962962962,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.09259259259259259,0.16666666666666666,0.07407407407407407,0.07407407407407407,0.09259259259259259,0.07407407407407407,0.09259259259259259,0.07407407407407407,0.05555555555555555,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.09259259259259259,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.09259259259259259,0.09259259259259259,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.05555555555555555,0.07407407407407407,0.07407407407407407,0.09259259259259259,0.037037037037037035,0.1111111111111111,0.0,0.037037037037037035,0.07407407407407407
Bracket Voting,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.3148148148148148,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.2777777777777778,0.25925925925925924,0.12962962962962962,0.1111111111111111,0.07407407407407407,0.018518518518518517,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.0,0.037037037037037035
Superior Voting,0.22222222222222213,0.05555555555555555,0.3333333333333333,0.2962962962962963,0.09259259259259259,0.1111111111111111,0.037037037037037035,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.1111111111111111,0.12962962962962962,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.12962962962962962,0.2777777777777778,0.25925925925925924,0.09259259259259259,0.14814814814814814,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.18518518518518517,0.018518518518518517,0.0,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.0,0.05555555555555555,0.0,0.018518518518518517,0.0,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.1111111111111111,0.16666666666666666,0.07407407407407407,0.037037037037037035,0.0
